QueryNumber;QueryText
71;WHAT,PROGNOSIS,INFANTS,WHEEZING,CYSTIC,FIBROSIS
72;WHAT,BEST,TREATMENT,NASAL,POLYPS,CF,PATIENTS
73;HOW,EFFECTIVE,BRONCHIAL,LAVAGE,CF,PATIENTS
74;WHAT,RESULTS,MECHANICAL,VENTILATION,CF,PATIENTS,RESPIRATORY,FAILURE
75;WHAT,BEST,TREATMENT,PULMONARY,HYPERTENSION,AND/OR,COR,PULMONALE,CF,PATIENTS
76;WHAT,EFFECTS,EXERCISE,TRAINING,PROGRAMS,LUNG,FUNCTION,CF,PATIENTS
77;WHAT,TECHNIQUES,EFFECTIVE,PROMOTING,CLEARANCE,MUCUS,LUNGS,CF,PATIENTS
78;WHAT,SPECIAL,CONSIDERATIONS,TREATMENT,CF,PATIENTS,ANTIBIOTICS,IE,PHARMACODYNAMICS,ANTIBIOTICS,DIFFERENT,CF,PATIENTS,SPECIAL,PROBLEMS,PECULIAR,CF
79;WHAT,ROLE,ORALLY,ADMINISTERED,ANTIBIOTICS,TREATMENT,CF,PATIENTS
80;WHAT,EVIDENCE,COMBINATION,THERAPY,AMINOGLYCOSIDES,SEMISYNTHETIC,PENICILLINS,EFFECTIVE,THERAPY,EITHER,ALONE
81;HOW,EFFECTIVE,INHALATIONS,MUCOLYTIC,AGENTS,TREATMENT,CF,PATIENTS
82;WHAT,ROLE,AEROSOLS,TREATMENT,LUNG,DISEASE,CF,PATIENTS
83;WHAT,ROLE,BACTERIAL,PHAGOCYTOSIS,ALVEOLAR,MACROPHAGES,POLYMORPHONUCLEAR,LEUKOCYTES,LUNG,DISEASE,CF,PATIENTS
84;WHAT,RELATIONSHIP,HAEMOPHILUS,INFLUENZAE,PSEUDOMONAS,AERUGINOSA,CF,PATIENTS
85;DO,CF,PATIENTS,EVER,DEVELOP,INFECTION,ORGANS,LUNG,IF,ORGANS
86;WHAT,ROLE,BACTERIA,PSEUDOMONAS,AERUGINOSA,STAPHYLOCOCCUS,AUREUS,HAEMOPHILUS,INFLUENZAE,PATHOGENESIS,LUNG,DISEASE,CF,PATIENTS
87;WHAT,ROLE,FUNGI,PATHOGENESIS,LUNG,DISEASE,CF,PATIENTS
88;WHAT,ROLE,VIRAL,INFECTION,LUNG,DISEASE,CF,PATIENTS
89;WHAT,EPIDEMIOLOGY,PSEUDOMONAS,AERUGINOSA,CF,PATIENTS,SPECIFICALLY,CF,PATIENTS,SPREAD,PSEUDOMONAS,AERUGINOSA,PATIENTS,INDIVIDUALS,FAMILY
90;WHAT,FACTORS,RESPONSIBLE,APPEARANCE,MUCOID,STRAINS,PSEUDOMONAS,AERUGINOSA,CF,PATIENTS
91;WHAT,UNUSUAL,MANIFESTATIONS,CF,LUNG,DISEASE,EXOCRINE,PANCREATIC,INSUFFICIENCY
92;WHAT,PROGNOSIS,SURVIVAL,PATIENTS,CF
94;WHAT,ANIMAL,MODELS,AVAILABLE,RELEVANT,CF
95;WHAT,ABNORMALITIES,SKELETAL,MUSCLE,FUNCTION,STRUCTURE,FOUND,CF,PATIENTS
96;IS,INCREASED,INCIDENCE,DENTAL,PROBLEMS,EG,CARIES,PERIODONTAL,DISEASE,CF,PATIENTS
97;IS,OXYGEN,TRANSPORT,RED,BLOOD,CELLS,ABNORMAL,CF,PATIENTS
98;WHAT,EFFECTS,CF,DEVELOPMENT,AND/OR,FUNCTION,BRAIN,CENTRAL,NERVOUS,SYSTEM
99;ARE,ABNORMALITIES,TASTE,CF,PATIENTS
100;WHAT,INCIDENCE,TREATMENT,HYPERTROPHIC,OSTEOARTHROPATHY,CF,PATIENTS
